Tag Name,Times Used
NotUsedInSocial,4654
Hi Res,1471
ABC,1403
UsedInSocial,1077
mammal,1054
enrichment,934
ZOOLIGHTS,736
Special Experiences,719
Events,693
Destination Africa,680
Mammal,555
Africa,529
Whooping Crane,515
Conservation Initiatives,504
primate,476
Ghana,468
Exploration Asia,466
Wechiau Hippo Sanctuary,462
VIM,412
vancouver island marmot,390
Canadian Wilds,380
ZOOLIGHTS 2021,365
Animal,360
bird,342
African Savannah,338
People,327
food enrichment,326
western lowland gorilla,314
Zoo La La,310
gorilla,310
NLF,307
Conservation,306
Malayan tapir,299
environmental enrichment,296
Taylor Family Foundation Polar Bear Sanctuary,288
polar bears,285
ZOOLIGHTS 2022,284
animal nutrition,262
penguin,250
Penguin Plunge,248
chick,247
African Rainforest,244
Berry Merry,237
ape,236
CZ Watermarked,232
single,230
Catering,228
hi res,228
Burrowing Owl,225
Weciau Hippo Sanctuary,225
curiously isolated hairstreak,218
Wilder Bunch,210
animal baby,206
social media,204
CIH,200
cih,200
construction,196
LOGO,194
Greater Sage Grouse,192
cat,190
people,188
Enrichment,182
Wild Canada,182
hoofstock,181
red panda,174
redevelopment,168
Gateway to Asia,166
polar bear,165
Building,164
field work,164
watermarked,163
Watermarked,162
Wildlife,158
Northern Leopard Frog,155
Nature,152
Sponsorship,152
Western lowland gorilla,150
destination africa,146
Bird,145
Crane chick,145
african rainforest,145
sage brush,137
Winter,136
Primate,135
Eyare,133
N,128
WCC,127
gorilla baby,127
marmota vancouverensis,126
ZooBoo,124
prairie,124
social enrichment,122
Visitor Engagement,121
camp,116
summer 2025,116
zoo camp,116
big cat,115
sensory enrichment,115
Outdoors,110
Spaces,109
Vet Procedures,108
Asian wild horse,106
Old Habitat,106
pumpkin enrichment,106
reptile,106
rodent,106
Marmots,104
Black-&-White Ruffed lemur,103
Food,103
Species,102
Executive Team,99
Hippopotamus,98
Sage Grouse,96
field research,96
breeding,94
Northern Rockhopper Penguin,93
snow,93
lemur,92
sage-grouse,92
Cranes,91
wildlife,91
Social Media,88
catering,88
king penguin,88
porcupine,88
Crane,87
Pallas's cat,86
grey wolf,86
marketing,86
menu,86
photoshoot,86
safari brunch,86
Penguin,85
reintroductions,84
North American river otter,83
Guests,82
health check,82
Animal Baby,80
